"","infected.treated.24hr.1","infected.treated.24hr.2","infected.treated.24hr.3","infected.treated.24hr.4","infected.treated.24hr.5","infected.untreated.24hr.1","infected.untreated.24hr.2","infected.untreated.24hr.3","infected.untreated.24hr.4","infected.untreated.24hr.5","uninfected.treated.24hr.1","uninfected.treated.24hr.2","uninfected.treated.24hr.3","uninfected.treated.24hr.4","uninfected.treated.24hr.5","uninfected.untreated.24hr.1","uninfected.untreated.24hr.2","uninfected.untreated.24hr.3","uninfected.untreated.24hr.4","uninfected.untreated.24hr.5"
"ENSG00000257643",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000257644",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257645",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257647",2,11,7,9,14,9,6,6,2,11,8,6,11,9,25,9,7,17,13,11
"ENSG00000257648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257653",55,75,46,58,56,120,122,120,115,130,76,98,93,83,95,79,70,71,86,63
"ENSG00000257654",1,3,0,0,0,0,0,2,2,2,1,0,2,0,0,0,0,0,0,5
"ENSG00000257657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257660",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257663",338,385,325,396,363,202,141,128,163,175,263,380,409,418,380,249,196,266,266,222
"ENSG00000257664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257666",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257668",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSG00000257671",2,0,6,3,3,11,16,8,18,3,0,0,0,1,0,0,0,2,0,0
"ENSG00000257672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257674",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"ENSG00000257675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000257677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257681",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,4
"ENSG00000257682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257691",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000257696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000257698",1,3,0,0,0,0,1,4,0,4,5,1,1,2,1,2,0,0,0,8
"ENSG00000257700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257702",24,26,18,25,33,13,16,15,14,15,26,22,22,18,19,18,9,9,19,11
"ENSG00000257703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257704",0,3,0,0,0,1,0,4,1,4,0,1,2,1,0,0,0,0,0,1
"ENSG00000257711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257715",118,138,136,140,181,245,212,183,141,241,304,210,233,222,355,337,316,398,365,344
"ENSG00000257718",2,3,0,1,0,9,7,10,6,6,2,3,1,2,2,4,8,4,6,7
"ENSG00000257720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257727",8,10,2,4,7,8,6,5,2,7,9,12,12,12,7,2,5,8,8,8
"ENSG00000257729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257731",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257732",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000257735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257738",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,1
"ENSG00000257740",12,21,10,13,25,14,3,15,7,12,15,16,24,20,16,14,22,16,16,15
"ENSG00000257741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000257743",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4
"ENSG00000257746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000257747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257750",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257751",0,1,0,1,0,0,0,1,0,2,0,3,1,1,0,1,2,3,1,0
"ENSG00000257752",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000257754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257763",0,0,1,0,0,1,1,1,2,0,3,3,0,0,1,2,0,1,0,0
"ENSG00000257764",124,196,203,194,301,1720,496,665,249,880,1211,1187,1285,1006,1690,3065,2932,3455,3628,3482
"ENSG00000257766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257769",38,44,37,42,30,49,53,47,26,43,32,45,47,43,55,42,50,54,42,48
"ENSG00000257771",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257773",3,2,1,0,0,0,0,1,2,2,4,2,5,0,0,1,2,2,0,4
"ENSG00000257777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257790",3,2,0,1,1,0,0,1,0,5,1,1,3,2,1,1,0,0,1,4
"ENSG00000257792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257800",0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,0,0,0,0,3
"ENSG00000257802",1,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,1
"ENSG00000257803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257808",47,46,43,54,59,83,67,65,57,80,49,56,48,50,68,58,48,57,58,57
"ENSG00000257809",93,98,107,89,105,131,152,112,114,145,105,115,116,116,145,129,112,107,126,113
"ENSG00000257813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257815",1,3,4,4,3,1,1,0,1,3,1,2,2,2,2,1,1,0,1,1
"ENSG00000257817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257824",387,366,360,414,514,758,697,724,516,892,501,546,629,513,681,674,622,665,743,662
"ENSG00000257825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257829",0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000257830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257831",37,32,42,36,35,16,12,7,9,11,36,38,51,40,40,14,11,15,23,22
"ENSG00000257835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257837",0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257838",0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1
"ENSG00000257839",0,0,1,1,0,1,1,0,1,1,2,1,5,1,1,0,0,0,1,1
"ENSG00000257842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257851",0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,1,0,0,2
"ENSG00000257852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257864",1,1,0,1,2,0,0,2,0,0,0,0,1,1,0,0,2,3,1,0
"ENSG00000257865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257872",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000257875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257878",20,22,26,30,34,52,32,37,18,37,40,45,39,41,60,64,69,68,87,82
"ENSG00000257879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257883",3,15,1,3,1,3,3,9,6,15,6,6,10,9,9,15,5,3,5,12
"ENSG00000257884",1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000257885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257896",36,32,18,31,26,35,24,15,14,21,30,42,49,38,56,51,44,39,58,45
"ENSG00000257897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257905",0,0,0,0,1,0,0,1,0,0,1,0,2,1,1,0,0,0,1,0
"ENSG00000257906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257907",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000257910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257913",48,59,48,46,72,38,36,31,23,36,49,53,55,57,60,67,47,63,73,54
"ENSG00000257915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257923",13,33,9,4,3,6,4,19,28,47,22,14,25,26,7,10,3,6,3,15
"ENSG00000257924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
